City_ID,city,lat,lng,max_Temp,humidity,cloudiness,wind_Speed,country,date
130,zephyrhills,28.2336,-82.1812,93.02,38,0,5.75,US,2023-04-03 21:12:40
131,tecpan,14.7623,-90.9947,75.88,37,11,5.3,GT,2023-04-03 21:14:38
132,cidreira,-30.1811,-50.2056,72.84,72,27,13.82,BR,2023-04-03 21:14:38
133,dwarka,22.2394,68.9678,76.69,80,3,11.68,IN,2023-04-03 21:14:39
134,kapaa,22.0752,-159.319,79.2,79,75,13.8,US,2023-04-03 21:14:39
135,playas,-2.6333,-80.3833,82.6,76,96,10.78,EC,2023-04-03 21:14:40
136,longyearbyen,78.2186,15.6401,8.44,78,75,21.85,SJ,2023-04-03 21:14:41
137,cabo san lucas,22.8909,-109.9124,83.61,41,100,19.57,MX,2023-04-03 21:10:15
138,mananjary,-21.2167,48.3333,75.38,90,69,2.19,MG,2023-04-03 21:14:42
139,les cayes,18.2,-73.75,81.93,63,21,10.96,HT,2023-04-03 21:14:42
140,garden city,42.3256,-83.331,57.56,68,75,14.97,US,2023-04-03 21:11:41
141,brae,60.3964,-1.353,42.13,79,85,18.25,GB,2023-04-03 21:14:42
142,anadyr,64.75,177.4833,-12.5,75,0,8.95,RU,2023-04-03 21:14:43
143,khani,41.9563,42.9566,40.57,85,96,4.97,GE,2023-04-03 21:14:43
144,la palma,33.8464,-118.0467,66.92,46,40,19.57,US,2023-04-03 21:14:43
145,pasni,25.2631,63.471,74.64,66,0,11.48,PK,2023-04-03 21:14:43
146,majene,-3.5403,118.9707,77.9,82,100,4.36,ID,2023-04-03 21:14:43
147,batagay-alyta,67.8006,130.4114,-7.8,88,17,6.6,RU,2023-04-03 21:14:43
148,soyo,-6.1349,12.3689,81.27,79,92,8.88,AO,2023-04-03 21:14:44
149,acarau,-2.8856,-40.12,77.95,81,72,5.73,BR,2023-04-03 21:14:44
150,kavaratti,10.5669,72.642,81.91,69,37,10.51,IN,2023-04-03 21:14:44
151,tuatapere,-46.1333,167.6833,54.19,81,79,4.07,NZ,2023-04-03 21:14:45
152,nago,26.5881,127.9761,68.85,62,74,18.12,JP,2023-04-03 21:14:45
153,biloela,-24.4167,150.5,67.08,84,6,5.21,AU,2023-04-03 21:14:46
154,dubbo,-32.25,148.6167,57.33,88,8,8.05,AU,2023-04-03 21:14:46
155,pahrump,36.2083,-115.9839,45.25,54,96,14.0,US,2023-04-03 21:14:46
156,avesta,60.1455,16.1679,28.99,80,100,1.43,SE,2023-04-03 21:14:46
157,sharjah,25.3573,55.4033,71.58,60,0,9.22,AE,2023-04-03 21:14:46
158,poretskoye,55.1974,46.3291,45.82,58,100,5.61,RU,2023-04-03 21:14:47
159,malanje,-9.5402,16.341,64.89,97,97,1.16,AO,2023-04-03 21:14:47
160,los llanos de aridane,28.6585,-17.9182,65.12,85,20,18.41,ES,2023-04-03 21:14:47
161,nome,64.5011,-165.4064,14.16,78,75,4.61,US,2023-04-03 21:14:47
162,mansa,29.9833,75.3833,64.18,68,22,5.73,IN,2023-04-03 21:14:47
163,rawson,-43.3002,-65.1023,70.18,29,0,3.87,AR,2023-04-03 21:14:48
164,port lincoln,-34.7333,135.8667,63.68,73,37,5.41,AU,2023-04-03 21:14:48
165,baft,29.234,56.6057,47.75,24,0,1.39,IR,2023-04-03 21:14:48
166,banda aceh,5.5577,95.3222,77.47,84,92,3.33,ID,2023-04-03 21:14:49
167,ponta delgada,37.7333,-25.6667,57.92,72,20,8.05,PT,2023-04-03 21:10:37
168,vestmannaeyjar,63.4427,-20.2734,47.05,95,100,32.19,IS,2023-04-03 21:14:49
169,codrington,-38.2667,141.9667,50.67,91,49,3.74,AU,2023-04-03 21:13:13
170,blagoyevo,63.3667,47.9167,18.25,90,47,7.67,RU,2023-04-03 21:14:50
171,romitan,39.9343,64.3814,51.75,100,20,4.61,UZ,2023-04-03 21:14:50
172,maneadero,31.7167,-116.5667,54.84,62,84,17.78,MX,2023-04-03 21:14:50
173,rio gallegos,-51.6226,-69.2181,69.85,24,40,31.07,AR,2023-04-03 21:14:51
174,hambantota,6.1241,81.1185,78.48,81,94,0.98,LK,2023-04-03 21:14:51
175,tekeli,44.83,78.8239,39.69,38,0,10.65,KZ,2023-04-03 21:14:51
176,verkhoyansk,67.5447,133.385,-8.84,96,46,0.47,RU,2023-04-03 21:14:51
177,cherskiy,68.75,161.3,-3.28,82,100,10.25,RU,2023-04-03 21:14:52
178,mazamari,-11.3258,-74.5308,83.8,63,62,2.48,PE,2023-04-03 21:14:52
179,athens,37.9795,23.7162,58.66,83,40,8.99,GR,2023-04-03 21:14:52
180,san patricio,28.017,-97.5169,96.17,53,72,16.58,US,2023-04-03 21:14:52
181,suda,59.1525,37.5582,35.71,99,100,6.85,RU,2023-04-03 21:14:52
182,ambilobe,-13.2,49.05,73.18,96,54,3.09,MG,2023-04-03 21:14:53
